Year,Linear_Weight,Exponential_Weight
2004,0.1,0.1353352832366127
2005,0.14500000000000002,0.14956861922263506
2006,0.19,0.16529888822158653
2007,0.23500000000000001,0.18268352405273466
2008,0.28,0.2018965179946554
2009,0.32499999999999996,0.22313016014842982
2010,0.37,0.2465969639416065
2011,0.41500000000000004,0.2725317930340126
2012,0.45999999999999996,0.30119421191220214
2013,0.505,0.33287108369807955
2014,0.5499999999999999,0.3678794411714423
2015,0.595,0.40656965974059917
2016,0.64,0.4493289641172217
2017,0.6849999999999999,0.4965853037914095
2018,0.73,0.5488116360940265
2019,0.7749999999999999,0.6065306597126333
2020,0.82,0.6703200460356393
2021,0.865,0.740818220681718
2022,0.9099999999999999,0.8187307530779819
2023,0.955,0.9048374180359596
2024,1.0,1.0
