LOCATION_TITLE, STREET, CITY, ZIP, DATE,LAT,LON
Allegheny Valley,590 Pittsburgh Mills Blvd, Tarentum, PA 15084,June 10,40.572726,-79.7973668
Johnstown,500 Galleria Dr, Johnstown, PA 15904,June 11,,
Charleroi,1 Chamber Plaza, Charleroi, PA 15022,June 12,,
Homewood,7430 Tioga St, Pittsburgh, PA 15208,June 14,40.4526579,-79.8937505
North Side,50 Montgomery Place, Pittsburgh, PA 15212,June 14,40.4547982,-80.0045414
Armstrong,13374 US Route 422, Kittanning, PA 16201,June 16,,
West End,2940 Sheraden Blvd, Pittsburgh, PA 15204,June 17,40.4542326,-80.0558927
Aliquippa,2720 Brodhead Rd, Aliquippa, PA 15001,June 20,40.6115189,-80.2839416
McKeesport,1960 Eden Park Blvd, McKeesport, PA 15132,June 21,40.3437957,-79.8295029
Butler,313 N. Pike Rd., Sarver, PA 16055,June 24,,
Butler,205 S. Chestnut St Butler, Butler, PA 16001,June 24,,
South Side,49 S. 12th Street, Pittsburgh, PA 15203,June 25,40.4290177,-79.9863256
Clairton,435 Fremont St, Clairton, PA 15025,June 26,40.3033795,-79.8939417
Beaver Falls,1601 8th Ave, Beaver Falls, PA 15010,June 28,40.757094,-80.320878
Washington,2151 North Main St, Washington, PA 15301,July 1,43.4494937,-88.1902944
Armstrong,13374 US Route 422, Kittanning, PA 16201,July 7,,
Johnstown,500 Galleria Dr, Johnstown, PA 15904,July 9,,
Monroeville,3000 Gateway Campus Blvd., Monroeville, PA 15146,July 9,40.4294814,-79.754596
Homewood,7430 Tioga St, Pittsburgh, PA 15208,July 12,40.4526579,-79.8937505
North Side,50 Montgomery Place, Pittsburgh, PA 15212,July 12,40.4547982,-80.0045414
Carrick,1529 Brownsville Rd, Pittsburgh, PA 15210,July 12,40.4000253,-79.9887565
West End,2924 Chartiers Avenue, Pittsburgh, PA 15204,July 15,40.4541278,-80.056873
Butler,313 N. Pike Rd., Sarver, PA 16055,July 15,,
McKeesport,1960 Eden Park Blvd, McKeesport, PA 15132,July 19,40.3437957,-79.8295029
South Side,49 S. 12th Street, Pittsburgh, PA 15203,July 23,40.4290177,-79.9863256
Clairton,435 Fremont St., Clairton, PA 15025,July 24,40.3033795,-79.8939417
Aliquippa,2720 Brodhead Rd, Aliquippa, PA 15001,July 25,40.6115189,-80.2839416
Beaver Falls,1601 8th Ave, Beaver Falls, PA 15010,July 26,40.757094,-80.320878
Wilkinsburg,225 Penn Ave. (Intersection of Penn Ave. and N. Trenton), Pittsburgh, PA 15221,July 26,,
Allegheny Valley,167 Pittsburgh Mills Circle, Tarentum, PA 15084,August 8,,
DISTRIBUTION CENTER, 1 North Linden Street, Duquesne, PA 15110, NA,40.3754611,-79.8419104
